generation,frame,alive_population,total_agents_ever_born,total_agents_dead,current_oldest_alive_age,average_alive_age,median_alive_age,average_alive_fitness,best_alive_fitness,fitness_std,mature_agent_count,mature_average_fitness,fitness_10th_percentile,fitness_50th_percentile,fitness_75th_percentile,fitness_90th_percentile,behavioral_diversity_score,action_entropy,mean_turn_output,std_turn_output,mean_speed_output,std_speed_output,pct_stationary,pct_straight_runner,pct_erratic,pct_left_turner,pct_right_turner,pct_balanced_explorer,births,deaths,unique_parent_count,genome_diversity_score,mean_weight_magnitude,weight_std,mean_pairwise_weight_distance,food_consumed,spike_collisions
25,21500,16,197,181,2090,1820.3,1981.0,0.5621,0.8531,0.1838,16,0.5621,0.3196,0.572,0.7381,0.804,0.2436,2.8585,0.0441,0.3875,0.1713,0.3759,0.1875,0.0,0.0,0.1875,0.4375,0.1875,0,2,7,0.8444,0.5041,0.5951,9.4032,9,11
25,22000,15,197,182,2590,2352.6,2481.0,0.7034,0.9453,0.1723,15,0.7034,0.4572,0.7406,0.8676,0.9205,0.1999,2.8729,0.0698,0.3001,0.1003,0.3181,0.1333,0.0,0.0,0.1333,0.3333,0.4,0,1,7,0.8264,0.5046,0.5949,9.2022,2,2
27,22500,20,210,190,2981,1005.2,198.0,0.3003,0.9975,0.3632,7,0.7689,0.5365,0.8889,0.9184,0.9677,0.3101,3.5219,0.0303,0.5566,0.2249,0.3891,0.1,0.0,0.0,0.3,0.4,0.2,13,8,6,0.888,0.5108,0.6024,9.8885,120,26
27,23000,16,210,194,2836,1051.6,698.0,0.2956,0.9727,0.2669,16,0.2956,0.1175,0.1807,0.2797,0.7406,0.3099,3.375,0.0677,0.5488,0.2358,0.3873,0.125,0.0,0.0,0.3125,0.375,0.1875,0,4,6,0.9092,0.5114,0.6032,10.1249,74,9
28,23500,19,217,198,1198,846.3,1090.0,0.2627,0.5921,0.1417,19,0.2627,0.1048,0.2672,0.3704,0.4122,0.2987,3.6819,0.1852,0.4685,0.2182,0.4391,0.2105,0.0,0.0,0.2105,0.4211,0.1579,7,4,7,0.8673,0.509,0.6,9.6577,44,5
28,24000,18,217,199,1698,1326.8,1590.0,0.4026,0.7514,0.1643,18,0.4026,0.2166,0.3901,0.5596,0.5837,0.2853,3.3921,0.1837,0.4218,0.2163,0.4484,0.1667,0.0,0.0,0.2222,0.4444,0.1667,0,1,7,0.8579,0.51,0.6006,9.5528,9,14
29,24500,20,223,203,2198,1272.2,1336.0,0.3996,0.8931,0.2957,14,0.5618,0.3478,0.5439,0.7191,0.8343,0.273,3.1037,0.1952,0.3709,0.2469,0.4643,0.1,0.0,0.0,0.25,0.5,0.15,6,4,6,0.8477,0.512,0.6015,9.4392,15,11
29,25000,20,223,203,2698,1772.2,1836.0,0.5466,0.9597,0.2739,20,0.5466,0.1492,0.5315,0.7616,0.9254,0.262,3.2464,0.1978,0.3434,0.2634,0.4561,0.1,0.0,0.0,0.2,0.5,0.2,0,0,6,0.8477,0.512,0.6015,9.4392,0,0
30,25500,19,231,212,2336,1050.8,1046.0,0.3213,0.8891,0.2816,11,0.5344,0.3211,0.5865,0.6168,0.6762,0.2579,3.2866,0.1121,0.3486,0.2107,0.4466,0.1579,0.0,0.0,0.1579,0.4737,0.2105,8,9,7,0.8357,0.5124,0.6031,9.3059,146,41
30,26000,17,231,214,2836,1663.9,1546.0,0.522,0.9781,0.2543,17,0.522,0.1884,0.5152,0.6725,0.8281,0.2389,3.0131,0.1485,0.3319,0.2068,0.4052,0.1176,0.0,0.0,0.1176,0.4706,0.2941,0,2,7,0.7883,0.5119,0.6034,8.7783,0,5
31,26500,19,241,222,2046,894.4,336.0,0.3276,0.7864,0.2661,19,0.3276,0.0736,0.208,0.5572,0.7375,0.2318,2.7948,0.1026,0.2925,0.1095,0.4218,0.2105,0.0,0.0,0.1053,0.3684,0.3158,10,8,8,0.7347,0.5136,0.6061,8.1811,92,21
31,27000,19,241,222,2546,1394.4,836.0,0.4762,0.9395,0.2702,19,0.4762,0.2109,0.4098,0.6652,0.8942,0.2307,2.945,0.1241,0.2695,0.0839,0.4356,0.2105,0.0,0.0,0.1053,0.3684,0.3158,0,0,8,0.7347,0.5136,0.6061,8.1811,0,0
31,27500,15,241,226,2090,1587.3,1336.0,0.4895,0.8787,0.1752,15,0.4895,0.3061,0.4581,0.6287,0.6969,0.2252,3.1396,0.1236,0.23,0.009,0.4369,0.3333,0.0,0.0,0.0667,0.3333,0.2667,0,4,8,0.7341,0.5116,0.6037,8.1747,90,16
32,28000,20,247,227,2590,1564.4,1836.0,0.4608,0.9453,0.2695,20,0.4608,0.1123,0.4732,0.6976,0.802,0.2157,2.8219,0.1732,0.2126,0.0006,0.4428,0.3,0.0,0.0,0.0,0.3,0.4,6,1,6,0.6945,0.5132,0.6045,7.7331,8,8
32,28500,15,247,232,2336,1866.7,2336.0,0.5531,0.9115,0.2028,15,0.5531,0.2646,0.5563,0.6431,0.8394,0.2009,2.5736,0.1857,0.1874,-0.0375,0.4169,0.3333,0.0,0.0,0.0,0.3333,0.3333,0,5,6,0.6674,0.5113,0.6008,7.432,74,8
32,29000,15,247,232,2836,2366.7,2836.0,0.6776,0.9781,0.1728,15,0.6776,0.437,0.7031,0.7363,0.9369,0.1921,2.3329,0.1856,0.1749,-0.0459,0.3974,0.3333,0.0,0.0,0.0,0.3333,0.3333,0,0,6,0.6674,0.5113,0.6008,7.432,0,0
33,29500,20,262,242,1928,734.0,336.0,0.242,0.8291,0.2675,20,0.242,0.0761,0.0959,0.2349,0.7387,0.239,3.0414,0.1581,0.3593,-0.0203,0.3997,0.2,0.0,0.0,0.1,0.35,0.35,15,10,13,0.7669,0.5049,0.5932,8.5394,156,18
33,30000,17,262,245,2428,1304.2,836.0,0.4186,0.9154,0.2507,17,0.4186,0.2054,0.2988,0.5736,0.8311,0.2065,2.7778,0.2441,0.2709,-0.0985,0.3881,0.3529,0.0,0.0,0.0,0.4118,0.2353,0,3,13,0.7358,0.507,0.5953,8.1938,4,11
33,30500,17,262,245,2928,1804.2,1336.0,0.5536,0.9904,0.2517,17,0.5536,0.2985,0.4398,0.8105,0.9208,0.2058,2.4404,0.253,0.2646,-0.0828,0.392,0.3529,0.0,0.0,0.0,0.3529,0.2941,0,0,13,0.7358,0.507,0.5953,8.1938,0,0
34,31000,20,270,250,1836,1272.8,1836.0,0.3854,0.8186,0.2206,20,0.3854,0.1047,0.4366,0.5353,0.6235,0.1867,2.9087,0.2903,0.2571,-0.0592,0.3234,0.25,0.0,0.0,0.0,0.45,0.3,8,5,8,0.7474,0.5114,0.6021,8.3232,105,12
34,31500,20,270,250,2336,1772.8,2336.0,0.525,0.9058,0.2109,20,0.525,0.2572,0.5442,0.69,0.7922,0.1966,3.1087,0.3092,0.261,0.0027,0.3506,0.2,0.0,0.0,0.0,0.5,0.3,0,0,8,0.7474,0.5114,0.6021,8.3232,0,0
34,32000,19,270,251,2836,2243.2,2836.0,0.6433,0.9781,0.2198,19,0.6433,0.3538,0.6281,0.7955,0.9629,0.2064,2.5445,0.289,0.2793,0.0107,0.3633,0.2105,0.0,0.0,0.0,0.4737,0.3158,0,1,8,0.754,0.5118,0.6032,8.3958,11,6
35,32500,20,282,262,1928,972.8,336.0,0.3131,0.8406,0.2461,20,0.3131,0.0976,0.182,0.4963,0.6082,0.248,3.1464,0.2627,0.3661,0.1757,0.3974,0.15,0.0,0.0,0.1,0.6,0.15,12,11,12,0.7856,0.5162,0.6091,8.7476,180,17
35,33000,20,282,262,2428,1472.8,836.0,0.4484,0.9237,0.2292,20,0.4484,0.2003,0.3628,0.5862,0.7809,0.2327,3.3087,0.2831,0.3453,0.1741,0.3736,0.15,0.0,0.0,0.05,0.55,0.25,0,0,12,0.7856,0.5162,0.6091,8.7476,0,0
35,33500,19,282,263,2928,1922.5,1336.0,0.5846,0.9904,0.2227,19,0.5846,0.3239,0.538,0.7279,0.9236,0.2171,2.8398,0.2652,0.3313,0.1503,0.3405,0.1053,0.0,0.0,0.0526,0.5789,0.2632,0,1,12,0.787,0.5154,0.6078,8.7634,5,3
36,34000,18,290,272,1836,1210.2,1836.0,0.3954,0.8124,0.2634,18,0.3954,0.093,0.4138,0.6239,0.7122,0.2364,2.9749,0.275,0.3774,0.1164,0.3869,0.0556,0.0,0.0,0.0,0.5,0.4444,8,9,8,0.7257,0.5151,0.6063,8.0812,126,20
36,34500,18,290,272,2336,1710.2,2336.0,0.5447,0.8965,0.2885,18,0.5447,0.1981,0.5569,0.8106,0.8822,0.2313,2.8583,0.2727,0.3759,0.113,0.3949,0.0556,0.0,0.0,0.0,0.6667,0.2778,0,0,8,0.7257,0.5151,0.6063,8.0812,0,0
36,35000,17,290,273,2836,2256.2,2836.0,0.6873,0.9781,0.2774,17,0.6873,0.3336,0.7391,0.9625,0.9771,0.2125,2.5366,0.2282,0.3576,0.0764,0.3679,0.0588,0.0,0.0,0.0,0.5882,0.3529,0,1,8,0.7375,0.5156,0.6076,8.212,0,0
37,35500,19,304,285,1928,754.9,336.0,0.24,0.8269,0.2126,19,0.24,0.055,0.1319,0.3364,0.5158,0.2747,3.1556,0.2494,0.4312,0.2215,0.4243,0.1053,0.0,0.0,0.1053,0.4211,0.3684,14,12,11,0.7602,0.5186,0.6106,8.4648,202,30
37,36000,19,304,285,2428,1254.9,836.0,0.378,0.9123,0.1977,19,0.378,0.2128,0.2921,0.4689,0.6362,0.2694,3.2211,0.2358,0.445,0.2273,0.3955,0.1053,0.0,0.0,0.1053,0.5263,0.2632,0,0,11,0.7602,0.5186,0.6106,8.4648,0,0
37,36500,19,304,285,2928,1754.9,1336.0,0.5265,0.9891,0.1835,19,0.5265,0.3417,0.4603,0.5995,0.8085,0.2653,3.09,0.2392,0.4404,0.192,0.3978,0.1053,0.0,0.0,0.1053,0.5263,0.2632,0,0,11,0.7602,0.5186,0.6106,8.4648,0,0
