generation,frame,population_size,average_fitness,best_fitness,worst_fitness,average_lifespan,best_lifespan,average_food_eaten,average_distance_traveled,average_spike_hits,behavioral_diversity_score,average_weight_magnitude,weight_std,convergence_score,mutation_rate,mutation_strength,recurrent_memory_usage
79,53028,189,0.8108,0.9986,0.033,2847.5,3000,15.16,3841.7,2.55,0.0976,0.472,0.5573,0.8011,0.05,0.2,0
80,53630,1,0.0254,0.0254,0.0254,162.0,162,0.0,192.3,2.0,0.0,0.4703,0.5524,0.0,0.05,0.2,0
81,54011,153,0.8834,0.9986,0.7611,2994.5,3000,17.38,4034.2,2.52,0.1152,0.472,0.5573,0.743,0.05,0.2,0
82,54511,161,0.8734,0.9986,0.2042,2977.5,3000,17.04,4000.4,2.53,0.0946,0.472,0.5572,0.742,0.05,0.2,0
83,55039,167,0.8619,0.9986,0.1149,2953.6,3000,16.68,3973.4,2.56,0.1083,0.4719,0.5572,0.6972,0.05,0.2,0
84,55783,2,0.024,0.0256,0.0224,158.0,168,0.0,148.2,2.5,0.157,0.4712,0.5574,0.8172,0.05,0.2,0
85,56155,2,0.0445,0.0599,0.0291,273.5,372,0.0,401.8,2.0,0.1023,0.4723,0.5584,0.8061,0.05,0.2,0
86,57011,190,0.8186,0.9986,0.0224,2849.6,3000,15.48,3832.7,2.55,0.1111,0.4719,0.5573,0.6871,0.05,0.2,0
87,57511,1,0.0583,0.0583,0.0583,382.0,382,0.0,367.0,2.0,0.0,0.4772,0.5655,0.0,0.05,0.2,0
88,58039,153,0.892,0.9986,0.7705,2996.0,3000,17.71,4054.9,2.71,0.0993,0.4718,0.5574,0.8079,0.05,0.2,0
89,58912,2,0.1527,0.1892,0.1161,828.0,873,1.0,863.2,2.0,0.2018,0.4683,0.5544,0.861,0.05,0.2,0
90,59155,166,0.8673,0.9986,0.1161,2938.7,3000,17.01,3959.8,2.77,0.0936,0.4717,0.5573,0.7963,0.05,0.2,0
91,60011,1,0.1049,0.1049,0.1049,659.0,659,0.0,852.4,2.0,0.0,0.465,0.5537,0.0,0.05,0.2,0
92,60511,184,0.8382,0.9986,0.04,2874.0,3000,16.19,3870.7,2.7,0.1142,0.4718,0.5574,0.8482,0.05,0.2,0
93,61039,1,0.0347,0.0347,0.0347,212.0,212,0.0,321.6,2.0,0.0,0.4614,0.5487,0.0,0.05,0.2,0
94,61912,197,0.8194,0.9986,0.0347,2825.5,3000,15.68,3802.4,2.68,0.0909,0.4717,0.5575,0.7884,0.05,0.2,0
95,62155,154,0.8973,0.9986,0.1821,2983.3,3000,18.06,4040.3,2.84,0.0856,0.4719,0.5577,0.7934,0.05,0.2,0
96,63011,165,0.8777,0.9986,0.0485,2945.8,3000,17.44,3982.0,2.8,0.101,0.472,0.5578,0.8038,0.05,0.2,0
97,63511,171,0.8651,0.9986,0.0485,2917.2,3000,17.07,3942.6,2.71,0.0877,0.4721,0.5578,0.7902,0.05,0.2,0
98,64039,1,0.0413,0.0413,0.0413,278.0,278,0.0,209.6,2.0,0.0,0.4813,0.5673,0.0,0.05,0.2,0
99,64912,185,0.8348,0.9986,0.0413,2846.1,3000,16.24,3825.9,2.7,0.1002,0.4721,0.5579,0.8519,0.05,0.2,0
100,65185,191,0.828,0.9986,0.0413,2830.2,3000,16.04,3808.4,2.71,0.0921,0.4721,0.5579,0.851,0.05,0.2,0
101,66011,154,0.9073,0.9986,0.7601,2998.7,3000,18.34,4083.7,2.68,0.0886,0.472,0.5577,0.8044,0.05,0.2,0
102,66744,3,0.1054,0.139,0.0627,506.3,733,1.0,644.6,2.67,0.1894,0.4726,0.5579,0.858,0.05,0.2,0
103,67039,166,0.8767,0.9986,0.0627,2920.4,3000,17.54,3967.7,2.63,0.1054,0.472,0.5578,0.8571,0.05,0.2,0
104,67573,1,0.0508,0.0508,0.0508,334.0,334,0.0,311.8,2.0,0.0,0.4712,0.5541,0.0,0.05,0.2,0
105,68185,1,0.0398,0.0398,0.0398,237.0,237,0.0,410.4,2.0,0.0,0.4743,0.5601,0.0,0.05,0.2,0
106,69011,188,0.8409,0.9986,0.0398,2849.4,3000,16.5,3852.7,2.54,0.1095,0.4721,0.558,0.7906,0.05,0.2,0
107,69895,1,0.1513,0.1513,0.1513,751.0,751,1.0,1308.9,2.0,0.0,0.4717,0.5581,0.0,0.05,0.2,0
108,70291,200,0.8262,0.9986,0.0398,2824.7,3000,16.02,3822.4,2.54,0.1086,0.472,0.5579,0.7951,0.05,0.2,0
109,70928,156,0.9107,0.9986,0.5771,2997.1,3000,18.57,4086.2,2.71,0.0937,0.4722,0.5579,0.8432,0.05,0.2,0
110,71185,163,0.8972,0.9986,0.1154,2972.1,3000,18.13,4044.1,2.67,0.1008,0.4722,0.5579,0.7377,0.05,0.2,0
111,71827,2,0.116,0.1557,0.0763,413.0,505,2.0,547.2,3.5,0.0463,0.4703,0.5541,0.934,0.05,0.2,0
112,72011,177,0.8637,0.9986,0.0763,2882.3,3000,17.29,3898.9,2.69,0.0952,0.472,0.5577,0.7983,0.05,0.2,0
113,72895,1,0.1515,0.1515,0.1515,793.0,793,1.0,1037.0,2.0,0.0,0.4825,0.5679,0.0,0.05,0.2,0
114,73902,189,0.8437,0.9986,0.0763,2839.9,3000,16.68,3837.1,2.68,0.0961,0.472,0.5578,0.8486,0.05,0.2,0
115,74185,198,0.8365,0.9986,0.0763,2838.0,3000,16.36,3829.0,2.66,0.1,0.4719,0.5577,0.7983,0.05,0.2,0
116,75011,1,0.1277,0.1277,0.1277,796.0,796,0.0,1078.5,1.0,0.0,0.4701,0.5567,0.0,0.05,0.2,0
117,75767,1,0.1007,0.1007,0.1007,478.0,478,1.0,599.4,3.0,0.0,0.4691,0.5497,0.0,0.05,0.2,0
118,76817,2,0.1172,0.1416,0.0927,514.0,573,1.5,557.0,3.5,0.1977,0.4632,0.5503,0.8528,0.05,0.2,0
119,76902,176,0.8773,1.0,0.0927,2908.6,3000,17.7,3969.4,2.75,0.1021,0.472,0.5579,0.8408,0.05,0.2,0
120,77185,183,0.8649,1.0,0.0345,2891.0,3000,17.27,3944.0,2.72,0.1031,0.472,0.5579,0.8425,0.05,0.2,0
121,78011,194,0.8453,1.0,0.0345,2856.9,3000,16.65,3878.1,2.65,0.0981,0.472,0.5578,0.8439,0.05,0.2,0
122,78767,2,0.1671,0.2696,0.0646,573.0,749,3.0,785.6,3.0,0.1243,0.4679,0.5548,0.8237,0.05,0.2,0
