generation,frame,alive_population,total_agents_ever_born,total_agents_dead,current_oldest_alive_age,average_alive_age,median_alive_age,average_alive_fitness,best_alive_fitness,fitness_10th_percentile,fitness_50th_percentile,fitness_75th_percentile,fitness_90th_percentile,fitness_std,behavioral_diversity_score,action_entropy,mean_turn_output,std_turn_output,mean_speed_output,std_speed_output,pct_stationary,pct_straight_runner,pct_erratic,pct_left_turner,pct_right_turner,pct_balanced_explorer,births,deaths,unique_parent_count,genome_diversity_score,mean_weight_magnitude,weight_std,mean_pairwise_weight_distance,food_consumed,spike_collisions
36,35000,20,286,266,2972,1458.3,923.0,0.4426,0.9963,0.1828,0.3042,0.7022,0.7587,0.2703,0.2278,2.6639,0.1471,0.3998,0.5621,0.3173,0.05,0.0,0.0,0.25,0.45,0.25,0,0,6,0.9228,0.5095,0.6005,10.2764,0,0
36,35500,16,286,270,2526,1639.1,1423.0,0.4609,0.9368,0.2764,0.3306,0.6068,0.8368,0.2323,0.2677,2.9772,0.1427,0.4546,0.523,0.3615,0.0625,0.0,0.0,0.3125,0.5,0.125,0,4,6,0.9148,0.5107,0.6008,10.1869,50,9
37,36000,15,292,277,1923,1168.2,1580.0,0.3455,0.6064,0.1134,0.3767,0.4814,0.5204,0.1642,0.2052,2.6566,-0.0791,0.3238,0.5101,0.2958,0.0,0.0,0.0,0.3333,0.1333,0.5333,6,7,6,0.8677,0.5032,0.5941,9.6621,86,5
38,36500,20,298,278,2423,1135.7,879.0,0.345,0.7981,0.0037,0.3576,0.5743,0.6548,0.2586,0.2607,3.2037,-0.05,0.4077,0.4573,0.3976,0.05,0.0,0.0,0.4,0.2,0.35,6,1,6,0.8984,0.5035,0.5938,10.0038,3,0
38,37000,20,298,278,2923,1635.7,1379.0,0.4856,0.9147,0.1281,0.4865,0.7005,0.7465,0.2448,0.2309,3.2464,-0.0067,0.3763,0.4864,0.3329,0.0,0.0,0.0,0.3,0.35,0.35,0,0,6,0.8984,0.5035,0.5938,10.0038,0,0
39,37500,20,306,286,1879,901.4,1019.0,0.3094,0.8505,0.014,0.2311,0.4947,0.6805,0.2632,0.2676,3.3464,0.0108,0.4497,0.4236,0.4049,0.05,0.0,0.0,0.25,0.35,0.35,8,8,8,0.9169,0.5088,0.6009,10.2105,92,11
39,38000,17,306,289,2379,1330.1,1519.0,0.4471,0.9172,0.1201,0.3103,0.6672,0.8572,0.2833,0.2615,3.2195,0.0344,0.4351,0.3648,0.4146,0.0588,0.0,0.0,0.2941,0.3529,0.2941,0,3,8,0.9309,0.5096,0.6018,10.3666,12,6
39,38500,16,306,290,2879,1818.2,1549.5,0.5855,0.9839,0.2308,0.602,0.8002,0.9839,0.2822,0.2607,2.5244,0.0312,0.4393,0.4146,0.4064,0.0625,0.0,0.0,0.25,0.3125,0.375,0,1,8,0.9222,0.5087,0.6014,10.2687,1,0
40,39000,20,315,295,2519,1180.4,1580.0,0.3676,0.9109,0.0749,0.3476,0.5676,0.8044,0.28,0.3119,3.4842,0.1364,0.4603,0.3388,0.5046,0.2,0.0,0.0,0.25,0.3,0.25,9,5,8,0.8618,0.514,0.609,9.5965,115,7
40,39500,16,315,299,2080,1479.5,1479.5,0.4152,0.8773,0.1698,0.3919,0.5898,0.711,0.2304,0.3171,3.3278,0.1821,0.4438,0.3184,0.5197,0.125,0.0,0.0,0.25,0.4375,0.1875,0,4,8,0.832,0.5144,0.6098,9.2647,49,11
41,40000,19,321,302,2580,1376.5,1379.0,0.4035,0.944,0.0542,0.3275,0.694,0.844,0.3113,0.2511,3.3264,0.0402,0.3175,0.328,0.4445,0.1053,0.0,0.0,0.2632,0.3158,0.3158,6,3,5,0.847,0.5177,0.6145,9.4318,12,7
42,40500,20,328,308,1879,886.6,670.0,0.2636,0.8366,0.0159,0.2306,0.4478,0.4889,0.228,0.3033,3.6842,0.0813,0.4575,0.3568,0.4813,0.15,0.0,0.0,0.25,0.3,0.3,7,6,7,0.8719,0.5185,0.6135,9.7087,94,10
42,41000,18,328,310,2379,1376.3,1170.0,0.4027,0.9172,0.1839,0.337,0.5422,0.6383,0.2154,0.2558,3.0588,0.1986,0.344,0.2885,0.4389,0.1111,0.0,0.0,0.0556,0.3333,0.5,0,2,7,0.8876,0.5187,0.6142,9.8839,2,2
42,41500,15,328,313,2879,1956.9,1670.0,0.5841,0.9839,0.3619,0.5927,0.6994,0.8138,0.1872,0.2477,2.9736,0.1696,0.2875,0.285,0.4497,0.1333,0.0,0.0,0.0667,0.3333,0.4667,0,3,7,0.8594,0.5183,0.6147,9.5696,6,6
43,42000,15,334,319,2170,1277.3,1580.0,0.4437,0.8893,0.1114,0.4596,0.6119,0.8365,0.2717,0.2034,2.7329,0.1593,0.3076,0.4253,0.3177,0.0667,0.0,0.0,0.1333,0.3333,0.4667,6,6,6,0.8023,0.5207,0.6171,8.9338,78,3
43,42500,15,334,319,2670,1777.3,2080.0,0.5934,0.956,0.2337,0.6023,0.8398,0.9353,0.2653,0.1989,3.0062,0.1222,0.2894,0.4015,0.323,0.0667,0.0,0.0,0.1333,0.3333,0.4667,0,0,6,0.8023,0.5207,0.6171,8.9338,0,0
44,43000,20,343,323,2580,1150.5,1430.0,0.377,0.944,0.0336,0.3163,0.6743,0.8265,0.3284,0.1718,2.6394,-0.011,0.2847,0.5007,0.2459,0.0,0.0,0.0,0.2,0.2,0.6,9,4,8,0.7625,0.522,0.6144,8.4909,83,1
44,43500,15,343,328,1930,1174.0,670.0,0.387,0.8323,0.1727,0.3293,0.5197,0.6777,0.2048,0.1849,2.1736,0.0088,0.2765,0.447,0.295,0.0667,0.0,0.0,0.1333,0.1333,0.6667,0,5,8,0.7467,0.5247,0.6161,8.3149,99,10
45,44000,20,349,329,2430,1283.7,1170.0,0.4251,0.924,0.1089,0.3927,0.6216,0.7665,0.2631,0.2002,2.9394,0.0361,0.3236,0.3895,0.2945,0.0,0.0,0.0,0.25,0.3,0.45,6,1,6,0.7856,0.52,0.6103,8.7484,1,0
45,44500,17,349,332,2930,1882.7,1670.0,0.607,0.9907,0.3194,0.559,0.7698,0.9457,0.2326,0.1794,2.8895,0.0709,0.248,0.3908,0.2915,0.0,0.0,0.0,0.1765,0.3529,0.4706,0,3,6,0.7336,0.5234,0.6151,8.1687,5,11
